Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,ODO % sat,ODO mg/L,pH,pH mV,Temp °C,SpCond mS/cm,Sal ppt,Turbidity NTU,Chlorophyll RFU,Chlorophyll µg/L,Depth m
8/20/2019,13:36:00,0,Pellicer Creek,0,5.5,102,8.62,8.32,-94.4,23.659,1.002,0.49,0.23,0.01,0.1,0.092
8/20/2019,13:37:00,0,Pellicer Creek,0,5.5,102,8.62,8.32,-94.5,23.66,1.002,0.49,0.24,0,0.04,0.086
8/20/2019,13:38:00,0,Pellicer Creek,0,5.5,102,8.62,8.32,-94.4,23.66,1.002,0.49,0.23,0,0.05,0.082
8/20/2019,13:39:00,0,Pellicer Creek,0,5.5,102,8.62,8.32,-94.4,23.661,1.002,0.49,0.22,-0.01,0.02,0.08
8/20/2019,13:40:00,0,Pellicer Creek,0,5.5,102,8.62,8.32,-94.4,23.661,1.002,0.49,0.24,-0.01,0.01,0.079
8/20/2019,13:41:00,0,Pellicer Creek,0,5.5,102,8.62,8.32,-94.5,23.663,1.0021,0.49,0.24,0.01,0.08,0.078
8/20/2019,13:42:00,0,Pellicer Creek,0,5.5,102,8.62,8.32,-94.5,23.663,1.0021,0.49,0.21,0,0.05,0.078
8/20/2019,13:43:00,0,Pellicer Creek,0,5.5,102,8.62,8.32,-94.5,23.664,1.002,0.49,0.24,-0.01,0.02,0.078
8/20/2019,13:44:00,0,Pellicer Creek,0,5.4,100.8,8.57,7.35,-36.9,23.423,0.0005,0,0.85,0.99,4.01,0.078
8/20/2019,13:45:00,0,Pellicer Creek,0,5.4,98.7,6.69,7.91,-70.1,24.676,54.1871,35.84,3.74,1.99,8.03,0.154
8/20/2019,13:46:00,0,Pellicer Creek,0,5.5,98.6,6.68,7.94,-72.2,24.7,54.1688,35.83,3.67,1.65,6.67,0.168
8/20/2019,13:47:00,0,Pellicer Creek,0,5.4,98.6,6.68,7.96,-73.1,24.708,54.1629,35.82,3.63,1.97,7.97,0.175
8/20/2019,13:48:00,0,Pellicer Creek,0,5.4,98.5,6.68,7.97,-73.8,24.711,54.1617,35.82,3.7,1.97,7.94,0.178
8/20/2019,13:49:00,0,Pellicer Creek,0,5.4,98.6,6.68,7.98,-74.4,24.713,54.1614,35.82,3.63,1.9,7.67,0.18
8/20/2019,13:50:00,0,Pellicer Creek,0,5.4,98.6,6.68,7.99,-74.8,24.715,54.16,35.82,3.59,1.88,7.59,0.181
8/20/2019,13:51:00,0,Pellicer Creek,0,5.4,98.6,6.68,7.99,-75.2,24.717,54.1595,35.82,3.61,1.95,7.89,0.181
8/20/2019,13:52:00,0,Pellicer Creek,0,5.4,98.6,6.68,8,-75.4,24.719,54.1597,35.82,3.63,2,8.07,0.181
8/20/2019,13:53:00,0,Pellicer Creek,0,5.4,98.6,6.68,8,-75.6,24.72,54.1601,35.82,3.59,2.01,8.11,0.177
8/20/2019,13:54:00,0,Pellicer Creek,0,5.4,98.6,6.68,8,-75.8,24.722,54.1613,35.82,3.61,1.86,7.53,0.176
8/20/2019,13:55:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.01,-76,24.724,54.1602,35.82,3.72,2.01,8.12,0.176
8/20/2019,13:56:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.01,-76.2,24.726,54.1606,35.82,3.64,2.04,8.24,0.175
8/20/2019,13:57:00,0,Pellicer Creek,0,5.4,98.6,6.67,8.01,-76.3,24.728,54.1606,35.82,3.69,1.93,7.81,0.175
8/20/2019,13:58:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.01,-76.4,24.73,54.1601,35.82,3.57,2.06,8.33,0.174
8/20/2019,13:59:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.02,-76.5,24.732,54.1615,35.82,3.7,2.01,8.12,0.174
8/20/2019,14:00:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.02,-76.6,24.733,54.1611,35.82,3.62,1.93,7.8,0.173
8/20/2019,14:01:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.02,-76.6,24.735,54.1611,35.82,3.63,2.01,8.11,0.173
8/20/2019,14:02:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.02,-76.7,24.737,54.1606,35.82,3.62,2.08,8.38,0.173
8/20/2019,14:03:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.02,-76.8,24.739,54.1617,35.82,3.56,1.97,7.95,0.173
8/20/2019,14:04:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.02,-76.8,24.741,54.1608,35.82,3.62,1.92,7.74,0.17
8/20/2019,14:05:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.02,-76.8,24.743,54.1612,35.82,3.72,1.98,8,0.17
8/20/2019,14:06:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.02,-76.9,24.745,54.1625,35.82,3.56,2,8.08,0.17
8/20/2019,14:07:00,0,Pellicer Creek,0,5.4,98.6,6.67,8.02,-76.9,24.747,54.1613,35.82,3.66,2.01,8.11,0.17
8/20/2019,14:08:00,0,Pellicer Creek,0,5.4,98.6,6.67,8.02,-77,24.749,54.162,35.82,3.61,1.92,7.74,0.17
8/20/2019,14:09:00,0,Pellicer Creek,0,5.4,98.6,6.67,8.02,-77,24.751,54.1621,35.82,3.64,2.18,8.8,0.17
8/20/2019,14:10:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.02,-77,24.753,54.1623,35.82,3.63,2.06,8.31,0.169
8/20/2019,14:11:00,0,Pellicer Creek,0,5.4,98.6,6.67,8.02,-77,24.755,54.1615,35.82,3.56,1.98,7.98,0.168
8/20/2019,14:12:00,0,Pellicer Creek,0,5.4,98.6,6.67,8.03,-77.1,24.757,54.1623,35.82,3.7,1.99,8.04,0.168
8/20/2019,14:13:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.03,-77.1,24.759,54.162,35.82,3.63,1.91,7.71,0.167
8/20/2019,14:14:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.03,-77.1,24.761,54.1612,35.82,3.62,1.8,7.29,0.165
8/20/2019,14:15:00,0,Pellicer Creek,0,5.4,98.6,6.67,8.03,-77.1,24.763,54.1626,35.82,3.74,2.09,8.45,0.162
8/20/2019,14:16:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.03,-77.2,24.765,54.1617,35.82,3.6,2.02,8.14,0.161
8/20/2019,14:17:00,0,Pellicer Creek,0,5.4,98.6,6.67,8.03,-77.2,24.767,54.1622,35.82,3.64,2.02,8.15,0.161
8/20/2019,14:18:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.03,-77.2,24.769,54.1629,35.82,3.62,1.8,7.29,0.16
8/20/2019,14:19:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.03,-77.2,24.772,54.1621,35.82,3.61,1.92,7.74,0.159
8/20/2019,14:20:00,0,Pellicer Creek,0,5.4,98.6,6.67,8.03,-77.2,24.774,54.1638,35.82,3.62,2.04,8.22,0.159
8/20/2019,14:21:00,0,Pellicer Creek,0,5.4,98.6,6.67,8.03,-77.3,24.776,54.1638,35.82,3.72,2.04,8.25,0.159
8/20/2019,14:22:00,0,Pellicer Creek,0,5.4,98.6,6.68,8.03,-77.3,24.779,54.1632,35.82,3.62,2,8.07,0.158
8/20/2019,14:23:00,0,Pellicer Creek,0,5.4,98.7,6.68,8.03,-77.3,24.782,54.1627,35.82,3.61,1.92,7.76,0.158
8/20/2019,14:24:00,0,Pellicer Creek,0,5.4,98.7,6.67,8.03,-77.4,24.785,54.1636,35.82,3.63,2.02,8.14,0.158
8/20/2019,14:25:00,0,Pellicer Creek,0,5.4,98.7,6.67,8.03,-77.4,24.788,54.1636,35.82,3.57,1.98,7.99,0.154
8/20/2019,14:26:00,0,Pellicer Creek,0,5.4,98.7,6.67,8.03,-77.4,24.791,54.1638,35.82,3.76,1.98,8,0.154
8/20/2019,14:27:00,0,Pellicer Creek,0,5.4,98.6,6.67,8.03,-77.4,24.794,54.1637,35.82,3.63,1.96,7.93,0.154
8/20/2019,14:28:00,0,Pellicer Creek,0,5.4,98.7,6.68,8.03,-77.5,24.797,54.1631,35.82,3.6,2.02,8.17,0.153
8/20/2019,14:29:00,0,Pellicer Creek,0,5.4,98.7,6.67,8.03,-77.5,24.801,54.165,35.82,3.58,1.99,8.05,0.153
8/20/2019,14:30:00,0,Pellicer Creek,0,5.4,98.7,6.67,8.03,-77.5,24.803,54.1642,35.82,3.52,1.97,7.97,0.153
8/20/2019,14:31:00,0,Pellicer Creek,0,5.4,98.7,6.68,8.03,-77.5,24.807,54.1641,35.82,3.6,2.05,8.26,0.153
8/20/2019,14:32:00,0,Pellicer Creek,0,5.4,98.7,6.67,8.03,-77.6,24.81,54.1642,35.82,3.6,1.99,8.03,0.149
8/20/2019,14:33:00,0,Pellicer Creek,0,5.4,98.7,6.67,8.03,-77.6,24.813,54.1648,35.82,3.52,1.86,7.52,0.148
8/20/2019,14:34:00,0,Pellicer Creek,0,5.4,98.7,6.68,8.03,-77.6,24.817,54.1656,35.82,3.61,2.06,8.32,0.148
8/20/2019,14:35:00,0,Pellicer Creek,0,5.4,98.7,6.67,8.03,-77.6,24.82,54.1648,35.82,3.53,2.02,8.14,0.147
8/20/2019,14:36:00,0,Pellicer Creek,0,5.4,98.7,6.68,8.03,-77.6,24.824,54.165,35.82,3.59,1.91,7.72,0.147
8/20/2019,14:37:00,0,Pellicer Creek,0,5.4,98.7,6.67,8.03,-77.6,24.827,54.1655,35.82,3.56,2.04,8.23,0.147
8/20/2019,14:38:00,0,Pellicer Creek,0,5.4,98.7,6.68,8.03,-77.6,24.83,54.1655,35.82,3.51,2.01,8.13,0.146
8/20/2019,14:39:00,0,Pellicer Creek,0,5.4,98.7,6.67,8.04,-77.7,24.833,54.1658,35.82,3.58,2.1,8.47,0.146
8/20/2019,14:40:00,0,Pellicer Creek,0,5.4,98.7,6.68,8.04,-77.7,24.836,54.1651,35.82,3.54,2.02,8.17,0.145
8/20/2019,14:41:00,0,Pellicer Creek,0,5.4,98.8,6.68,8.04,-77.7,24.839,54.1663,35.82,3.65,1.83,7.39,0.142
8/20/2019,14:42:00,0,Pellicer Creek,0,5.4,98.8,6.68,8.04,-77.7,24.843,54.1655,35.82,3.6,2.1,8.48,0.141
8/20/2019,14:43:00,0,Pellicer Creek,0,5.4,98.8,6.68,8.04,-77.7,24.846,54.1664,35.82,3.56,2,8.06,0.141
8/20/2019,14:44:00,0,Pellicer Creek,0,5.4,98.8,6.68,8.04,-77.7,24.85,54.1662,35.82,3.54,2.01,8.13,0.141
8/20/2019,14:45:00,0,Pellicer Creek,0,5.4,98.8,6.67,8.04,-77.7,24.854,54.1661,35.82,3.53,1.97,7.94,0.14
8/20/2019,14:46:00,0,Pellicer Creek,0,5.4,98.8,6.68,8.04,-77.7,24.857,54.1669,35.82,3.5,2.06,8.31,0.14
8/20/2019,14:47:00,0,Pellicer Creek,0,5.3,98.8,6.68,8.04,-77.8,24.86,54.1665,35.82,3.53,1.99,8.05,0.14
8/20/2019,14:48:00,0,Pellicer Creek,0,5.4,98.8,6.68,8.04,-77.8,24.864,54.1684,35.82,3.62,1.85,7.46,0.139
8/20/2019,14:49:00,0,Pellicer Creek,0,5.4,98.8,6.68,8.04,-77.8,24.868,54.1675,35.82,3.54,1.98,7.99,0.139
8/20/2019,14:50:00,0,Pellicer Creek,0,5.4,98.8,6.68,8.04,-77.8,24.873,54.1668,35.82,3.55,1.98,7.99,0.135
8/20/2019,14:51:00,0,Pellicer Creek,0,5.4,98.8,6.68,8.04,-77.8,24.877,54.1675,35.82,3.59,2.04,8.25,0.135
8/20/2019,14:52:00,0,Pellicer Creek,0,5.3,98.8,6.68,8.04,-77.8,24.881,54.1676,35.82,3.55,2.02,8.16,0.134
8/20/2019,14:53:00,0,Pellicer Creek,0,5.3,98.9,6.68,8.04,-77.8,24.886,54.1693,35.82,3.48,2.1,8.48,0.134
8/20/2019,14:54:00,0,Pellicer Creek,0,5.3,98.8,6.68,8.04,-77.8,24.891,54.1673,35.82,3.54,2.01,8.12,0.133
8/20/2019,14:55:00,0,Pellicer Creek,0,5.4,98.9,6.68,8.04,-77.8,24.895,54.1678,35.82,3.53,1.93,7.81,0.133
8/20/2019,14:56:00,0,Pellicer Creek,0,5.3,98.9,6.68,8.04,-77.8,24.9,54.168,35.82,3.51,2.05,8.28,0.133
8/20/2019,14:57:00,0,Pellicer Creek,0,5.3,98.9,6.68,8.04,-77.9,24.905,54.1684,35.82,3.59,2.09,8.43,0.133
8/20/2019,14:58:00,0,Pellicer Creek,0,5.3,98.9,6.68,8.04,-77.9,24.91,54.1699,35.82,3.5,2,8.08,0.132
8/20/2019,14:59:00,0,Pellicer Creek,0,5.3,98.9,6.68,8.04,-77.9,24.915,54.1692,35.82,3.53,2.02,8.15,0.129
