Date (MM/DD/YYYY),Time (HH:MM:SS),date_analyzed,vial_no,fb_fluor_rfu,ext_vol,vol_filter,fluor_rfu
2019-08-20,13:54:00,2019-08-22,1,0.04,8,250,551.87
2019-08-20,14:03:00,2019-08-22,2,0.04,8,250,415.65
2019-08-20,14:13:00,2019-08-22,3,0.04,8,250,664.75
2019-08-20,14:24:00,2019-08-22,4,0.04,8,250,671.37
2019-08-20,14:32:00,2019-08-22,5,0.04,8,250,641.92
2019-08-20,14:40:00,2019-08-22,6,0.04,8,250,677.44
2019-08-20,14:48:00,2019-08-22,7,0.04,8,250,647.02
2019-08-20,14:58:00,2019-08-22,8,0.04,8,250,564.96
2019-08-20,15:06:00,2019-08-22,9,0.04,8,250,576.69
2019-08-20,15:14:00,2019-08-22,10,0.04,8,250,367.16
2019-10-22,13:09:00,2019-10-22,1,4.48,8,250,646.55
2019-10-22,13:17:00,2019-10-22,2,4.48,8,250,697.79
2019-10-22,13:25:00,2019-10-22,3,4.48,8,250,706.74
2019-10-22,13:33:00,2019-10-22,4,4.48,8,250,645.98
2019-10-22,13:57:00,2019-10-22,7,4.48,8,250,658.57
2019-10-22,14:05:00,2019-10-22,8,4.48,8,250,533.68
2019-10-22,14:13:00,2019-10-22,9,4.48,8,250,617.02
2019-10-22,14:21:00,2019-10-22,10,4.48,8,250,407.96
2019-10-22,14:29:00,2019-10-22,11,4.48,8,250,655.08
2019-10-22,14:37:00,2019-10-22,12,4.48,8,250,502.5
