Date (MM/DD/YYYY),Time (HH:MM:SS),date_analyzed,vial_no,fb_fluor_rfu,vol_ext,vol_filter,fluor_rfu
8/20/2019,13:54:00,8/22/2019,1,0.04,8,250,551.87
8/20/2019,14:03:00,8/22/2019,2,0.04,8,250,415.65
8/20/2019,14:13:00,8/22/2019,3,0.04,8,250,664.75
8/20/2019,14:24:00,8/22/2019,4,0.04,8,250,671.37
8/20/2019,14:32:00,8/22/2019,5,0.04,8,250,641.92
8/20/2019,14:40:00,8/22/2019,6,0.04,8,250,677.44
8/20/2019,14:48:00,8/22/2019,7,0.04,8,250,647.02
8/20/2019,14:58:00,8/22/2019,8,0.04,8,250,564.96
8/20/2019,15:06:00,8/22/2019,9,0.04,8,250,576.69
8/20/2019,15:14:00,8/22/2019,10,0.04,8,250,367.16
