Date (MM/DD/YYYY),Time (HH:MM:SS),date_analyzed,duplicate,vial_no,fb_fluor_rfu,vol_ext,vol_filter,fluor_rfu
10/22/2019,13:09:00,10/22/2019,0,1,4.48,8,250,646.55
10/22/2019,13:17:00,10/22/2019,0,2,4.48,8,250,697.79
10/22/2019,13:25:00,10/22/2019,0,3,4.48,8,250,706.74
10/22/2019,13:33:00,10/22/2019,0,4,4.48,8,250,645.98
10/22/2019,13:57:00,10/22/2019,0,7,4.48,8,250,658.57
10/22/2019,14:05:00,10/22/2019,0,8,4.48,8,250,533.68
10/22/2019,14:13:00,10/22/2019,0,9,4.48,8,250,617.02
10/22/2019,14:21:00,10/22/2019,0,10,4.48,8,250,407.96
10/22/2019,14:29:00,10/22/2019,0,11,4.48,8,250,655.08
10/22/2019,14:37:00,10/22/2019,0,12,4.48,8,250,502.5
