Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,ODO % sat,ODO mg/L,pH,pH mV,Temp °C,SpCond mS/cm,Sal ppt,Turbidity NTU,Chlorophyll RFU,Chlorophyll µg/L,Depth m
6/19/2019,5:00:00,0,Pellicer Creek,0,6,99.9,8.53,8.29,-116.5,23.099,0.9915,0.49,2.15,-0.07,-0.17,0.024
6/19/2019,5:15:00,0,Pellicer Creek,0,6,99.8,8.54,8.29,-116.5,23.003,0.9915,0.49,2.12,-0.07,-0.17,0.023
6/19/2019,5:30:00,0,Pellicer Creek,0,6,99.8,8.55,8.29,-116.5,22.883,0.9915,0.49,2.13,-0.07,-0.16,0.023
6/19/2019,5:45:00,0,Pellicer Creek,0,6,99.7,8.56,8.29,-116.6,22.805,0.9915,0.49,2.13,-0.05,-0.07,0.025
6/19/2019,6:00:00,0,Pellicer Creek,0,6,99.8,8.58,8.29,-116.7,22.75,0.9915,0.49,2.12,-0.06,-0.13,0.024
6/19/2019,6:15:00,0,Pellicer Creek,0,6,99.8,8.58,8.29,-116.9,22.695,0.9916,0.49,2.11,-0.05,-0.07,0.024
6/19/2019,6:30:00,0,Pellicer Creek,0,6,100,8.61,8.3,-117.1,22.625,0.9915,0.49,2.12,-0.06,-0.12,0.024
6/19/2019,6:45:00,0,Pellicer Creek,0,6,100,8.62,8.3,-117.3,22.592,0.9916,0.49,2.11,-0.06,-0.12,0.024
6/19/2019,7:00:00,0,Pellicer Creek,0,6,100,8.63,8.3,-117.5,22.557,0.9916,0.49,2.12,-0.05,-0.07,0.025
6/19/2019,7:15:00,0,Pellicer Creek,0,6,99.8,8.62,8.31,-117.7,22.5,0.9916,0.49,2.07,-0.06,-0.12,0.027
6/19/2019,7:30:00,0,Pellicer Creek,0,6,99.7,8.67,7.87,-91.9,22.262,0.0002,0,8.61,0.06,0.36,0.029
6/19/2019,7:45:00,0,Pellicer Creek,0,6,99.5,8.65,7.75,-84.7,22.279,0.0002,0,7.27,0.08,0.47,0.028
6/19/2019,8:00:00,0,Pellicer Creek,0,6,99.3,8.68,7.65,-78.7,22.054,0.0002,0,7.62,0.04,0.28,0.03
6/19/2019,8:15:00,0,Pellicer Creek,0,6,99.1,8.73,7.63,-77.6,21.601,0.0002,0,6.81,0.05,0.33,0.021
6/19/2019,8:30:00,0,Pellicer Creek,0,6,99.4,8.84,7.57,-74.2,21.094,0.0002,0,7.57,0.08,0.46,0.035
6/19/2019,8:45:00,0,Pellicer Creek,0,6,99.5,8.91,7.63,-77.3,20.753,0.0002,0,8.03,0.05,0.34,0.035
6/19/2019,9:00:00,0,Pellicer Creek,0,6,99.8,8.92,7.69,-81,20.858,0.0002,0,10.38,0.05,0.34,0.035
6/19/2019,9:15:00,0,Pellicer Creek,0,6,99.8,8.87,7.69,-81.4,21.202,0.0002,0,10.75,0.05,0.33,0.036
6/19/2019,9:30:00,0,Pellicer Creek,0,6,99.8,8.81,7.66,-79.5,21.552,0.0002,0,10.96,0.05,0.34,0.034
6/19/2019,9:45:00,0,Pellicer Creek,0,6,100,8.75,7.68,-80.4,21.965,0.0002,0,10.79,0.03,0.26,0.034
6/19/2019,10:00:00,0,Pellicer Creek,0,6,99.7,8.65,7.62,-77,22.409,0.0002,0,9.07,0.02,0.22,0.033
6/19/2019,10:15:00,0,Pellicer Creek,0,6,99.4,8.64,7.55,-73,22.35,0.0003,0,6.71,0.04,0.3,0.029
6/19/2019,10:30:00,0,Pellicer Creek,0,6,84.3,5.98,7.5,-70.5,29.001,24.1122,14.55,10.27,4.83,19.6,0.946
6/19/2019,10:45:00,0,Pellicer Creek,0,6,73.4,5.17,7.43,-66.4,28.953,26.2443,15.97,14.35,5.77,23.4,1.069
6/19/2019,11:00:00,0,Pellicer Creek,0,6,68.5,4.8,7.4,-64.7,28.93,27.8797,17.06,17.91,6.09,24.68,1.095
6/19/2019,11:15:00,0,Pellicer Creek,0,6,69.7,4.86,7.42,-65.9,29.065,28.3963,17.41,16.26,5.93,24.02,1.122
6/19/2019,11:30:00,0,Pellicer Creek,0,6,70.2,4.88,7.42,-65.9,29.064,29.0844,17.87,16.57,6.79,27.52,1.147
6/19/2019,11:45:00,0,Pellicer Creek,0,6,69.9,4.85,7.42,-65.9,29.103,29.5443,18.18,17.29,6.47,26.2,1.165
6/19/2019,12:00:00,0,Pellicer Creek,0,6,76.1,5.27,7.45,-68.1,29.294,29.594,18.21,14.8,6.66,26.97,1.186
6/19/2019,12:15:00,0,Pellicer Creek,0,6,83.5,5.75,7.49,-70.1,29.602,29.8884,18.41,14.31,7.57,30.66,1.195
6/19/2019,12:30:00,0,Pellicer Creek,0,6,76.9,5.29,7.42,-66.1,29.479,30.4771,18.81,12.67,6.39,25.91,1.193
6/19/2019,12:45:00,0,Pellicer Creek,0,6,70.5,4.84,7.4,-64.6,29.394,30.9192,19.11,12.77,6.91,27.99,1.186
6/19/2019,13:00:00,0,Pellicer Creek,0,6,60.6,4.18,7.34,-61,29.196,30.8517,19.07,10.85,5.91,23.95,1.177
