Time,date_analyzed,Chl-a exo,Chl-a flour,Level
9/16/2019 10:45,2019-09-16,1.8,1.33,1.3
9/16/2019 13:00,2019-09-16,1.7,1.64,1.63
9/16/2019 15:15,2019-09-16,2.4,2,0.56
9/16/2019 17:30,2019-09-16,2.5,1.64,-0.77
9/16/2019 19:45,2019-09-16,2.5,1.24,-0.61
9/16/2019 22:00,2019-09-16,3.5,2.54,0.65
9/17/2019 0:15,2019-09-16,3.5,1.92,1.65
9/17/2019 2:30,2019-09-16,4,1.6,1.18
9/17/2019 4:45,2019-09-16,3,1.74,-0.26
9/17/2019 7:00,2019-09-16,2.6,1.38,-0.81
9/17/2019 9:15,2019-09-16,1.7,1.91,0.09
9/17/2019 11:30,2019-09-16,4.1,2.64,1.45
