Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Turb,F_Turb,ChlFluor,F_ChlFluor,WiperPosV,Level,F_Level
09/16/2019,10:45, ,0,Inlet,0,6.3,14.69,<0> (CND),48.4958,<0> (CND),31.66,<0> (CND),81.2,<0> (CND),6.78,<0> (CND),7.64,<0> (CND),-61.1,0.84,<0> (CND),0.46,<0> (CND),1.203,1.297,<0> (CND)
09/16/2019,11:00, ,0,Inlet,0,6.3,14.523,0,48.517,0,31.67,0,80,0,6.71,0,7.64,0,-60.7,0.73,0,0.42,0,1.202,1.409,0
09/16/2019,11:15, ,0,Inlet,0,6.3,14.429,0,48.5265,0,31.67,0,79.8,0,6.7,0,7.63,0,-60.6,0.91,0,0.53,0,1.199,1.513,0
09/16/2019,11:30, ,0,Inlet,0,6.3,14.457,0,48.5123,0,31.66,0,80.3,0,6.74,0,7.64,0,-60.9,0.88,0,0.39,0,1.197,1.574,0
09/16/2019,11:45, ,0,Inlet,0,6.3,14.445,0,48.5109,0,31.66,0,80.1,0,6.72,0,7.64,0,-60.8,0.81,0,0.42,0,1.192,1.639,0
09/16/2019,12:00, ,0,Inlet,0,6.3,14.53,0,48.5008,0,31.66,0,80.7,0,6.77,0,7.65,0,-61.4,0.77,0,0.52,0,1.19,1.69,0
09/16/2019,12:15, ,0,Inlet,0,6.3,14.596,0,48.4842,0,31.65,0,81.6,0,6.83,0,7.66,0,-61.9,0.58,0,0.52,0,1.191,1.711,0
09/16/2019,12:30, ,0,Inlet,0,6.3,14.569,0,48.4861,0,31.65,0,81,0,6.79,0,7.65,0,-61.7,0.57,0,0.6,0,1.199,1.693,0
09/16/2019,12:45, ,0,Inlet,0,6.3,14.546,0,48.6022,0,31.73,0,80.6,0,6.75,0,7.65,0,-61.5,0.52,0,0.57,0,1.2,1.663,0
09/16/2019,13:00, ,0,Inlet,0,6.3,14.555,0,48.4709,0,31.64,0,78,0,6.53,0,7.62,0,-59.8,0.41,0,0.42,0,1.203,1.632,0
09/16/2019,13:15, ,0,Inlet,0,6.3,14.821,0,48.4925,0,31.66,0,77.3,0,6.45,0,7.62,0,-60,0.49,0,0.54,0,1.203,1.58,0
