Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Turb,F_Turb,ChlorophyllRFU,ChlFluor,F_ChlFluor,Depth,F_Depth
08/28/2019,07:45, ,0,Fort Matanzas,0,6.2,29.352,<0> (CND),54.0563,<0> (CND),35.61,<0> (CND),76.5,<0> (CND),4.8,<0> (CND),7.92,<0> (CND),-63.5,7.6,<0> (CND),1.14,4.66,<0> (CND),2.693,<0> (CND)
08/28/2019,08:00, ,0,Fort Matanzas,0,6.2,29.546,0,53.9186,0,35.5,0,74.3,0,4.65,0,7.88,0,-61.5,8.09,0,1.16,4.77,0,2.654,0
08/28/2019,08:15, ,0,Fort Matanzas,0,6.2,29.679,0,53.7577,0,35.38,0,73.7,0,4.61,0,7.86,0,-60.1,9.45,0,1.23,5.02,0,2.621,0
08/28/2019,08:30, ,0,Fort Matanzas,0,6.2,29.772,0,53.592,0,35.25,0,73.6,0,4.6,0,7.84,0,-59,9.99,0,1.24,5.09,0,2.577,0
08/28/2019,08:45, ,0,Fort Matanzas,0,6.2,29.787,0,53.4409,0,35.14,0,73.3,0,4.59,0,7.82,0,-58.1,9.61,0,1.32,5.4,0,2.525,0
08/28/2019,09:00, ,0,Fort Matanzas,0,6.2,29.761,0,53.3782,0,35.09,0,72.9,0,4.56,0,7.81,0,-57.6,9.62,0,1.37,5.61,0,2.471,0
08/28/2019,09:15, ,0,Fort Matanzas,0,6.2,29.77,0,53.3178,0,35.05,0,73,0,4.57,0,7.81,0,-57.3,9.21,0,1.33,5.43,0,2.413,0
08/28/2019,09:30, ,0,Fort Matanzas,0,6.2,29.769,0,53.2716,0,35.01,0,72.9,0,4.56,0,7.81,0,-57,9.2,0,1.38,5.64,0,2.361,0
08/28/2019,09:45, ,0,Fort Matanzas,0,6.2,29.735,0,53.3411,0,35.07,0,73.4,0,4.59,0,7.81,0,-57.4,8.2,0,1.34,5.47,0,2.308,0
08/28/2019,10:00, ,0,Fort Matanzas,0,6.2,29.674,0,53.4948,0,35.18,0,74.2,0,4.65,0,7.83,0,-58.6,7.64,0,1.4,5.72,0,2.256,0
08/28/2019,10:15, ,0,Fort Matanzas,0,6.2,29.591,0,53.6422,0,35.29,0,75.7,0,4.75,0,7.86,0,-60.2,7.91,0,1.34,5.47,0,2.201,0
08/28/2019,10:30, ,0,Fort Matanzas,0,6.2,29.745,0,53.6321,0,35.28,0,77.8,0,4.87,0,7.85,0,-59.7,8,0,1.25,5.1,0,2.148,0
08/28/2019,10:45, ,0,Fort Matanzas,0,6.2,29.425,0,53.8293,0,35.44,0,74.5,0,4.68,0,7.87,0,-60.7,8.02,0,1.11,4.54,0,2.095,0
08/28/2019,11:00, ,0,Fort Matanzas,0,6.2,29.442,0,53.7713,0,35.4,0,72.4,0,4.54,0,7.86,0,-60.3,7.41,0,1.14,4.68,0,2.045,0
08/28/2019,11:15, ,0,Fort Matanzas,0,6.2,29.573,0,53.5356,0,35.22,0,74.2,0,4.65,0,7.84,0,-59.4,5.87,0,1.31,5.35,0,1.996,0
08/28/2019,11:30, ,0,Fort Matanzas,0,6.2,29.419,0,53.6383,0,35.3,0,72.3,0,4.55,0,7.85,0,-59.5,6.63,0,1.18,4.82,0,1.948,0
08/28/2019,11:45, ,0,Fort Matanzas,0,6.2,29.502,0,53.6107,0,35.27,0,73.3,0,4.6,0,7.84,0,-58.9,6.26,0,1.26,5.16,0,1.902,0
08/28/2019,12:00, ,0,Fort Matanzas,0,6.2,29.457,0,53.6436,0,35.3,0,71.8,0,4.51,0,7.83,0,-58.5,6.62,0,1.22,5.01,0,1.858,0
08/28/2019,12:15, ,0,Fort Matanzas,0,6.2,29.463,0,53.7249,0,35.36,0,72.2,0,4.53,0,7.82,0,-58,6.88,0,1.33,5.44,0,1.815,0
08/28/2019,12:30, ,0,Fort Matanzas,0,6.2,29.378,0,53.8133,0,35.43,0,70.3,0,4.42,0,7.81,0,-57.3,7.31,0,1.27,5.2,0,1.774,0
08/28/2019,12:45, ,0,Fort Matanzas,0,6.2,29.409,0,53.8984,0,35.49,0,71.2,0,4.47,0,7.81,0,-57.4,7.83,0,1.24,5.07,0,1.737,0
08/28/2019,13:00, ,0,Fort Matanzas,0,6.2,29.322,0,53.9291,0,35.52,0,69.1,0,4.34,0,7.8,0,-56.5,7.71,0,1.17,4.78,0,1.702,0
08/28/2019,13:15, ,0,Fort Matanzas,0,6.2,29.317,0,53.9456,0,35.53,0,71.1,0,4.47,0,7.83,0,-58.4,10.63,0,1.3,5.32,0,1.68,0
08/28/2019,13:30, ,0,Fort Matanzas,0,6.2,29.4,0,53.9558,0,35.53,0,75,0,4.71,0,7.86,0,-60.5,10.8,0,1.47,6,0,1.665,0
08/28/2019,13:45, ,0,Fort Matanzas,0,6.2,29.449,0,54.0394,0,35.59,0,80.3,0,5.04,0,7.9,0,-62.4,14.95,0,1.66,6.78,0,1.671,0
08/28/2019,14:00, ,0,Fort Matanzas,0,6.2,29.306,0,54.2825,0,35.78,0,92.1,0,5.79,0,7.97,0,-66.7,15.07,0,2.05,8.37,0,1.7,0
08/28/2019,14:15, ,0,Fort Matanzas,0,6.2,29.106,0,54.22,0,35.74,0,95.9,0,6.04,0,8,0,-68.7,10.38,0,2.14,8.72,0,1.741,0
08/28/2019,14:30, ,0,Fort Matanzas,0,6.2,29.173,0,54.2582,0,35.77,0,98.8,0,6.22,0,8.02,0,-69.9,9.58,0,1.94,7.91,0,1.792,0
