Date,Time,F_Record,Time(Fract.Sec),SiteName,FaultCode,Battery,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,pH,F_pH,pHmV,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,Turb,F_Turb,ChlorophyllRFU,ChlFluor,F_ChlFluor,Depth,F_Depth
09/11/2019,10:15, ,0,Pellicer Creek,0,6,54.6,<0> (CND),3.76,<0> (CND),7.34,<0> (CND),-30.8,29.892,<0> (CND),28.3902,<0> (CND),17.39,<0> (CND),12.2,<0> (CND),2.95,12.11,<0> (CND),1.411,<0> (CND)
09/11/2019,10:30, ,0,Pellicer Creek,0,6,51.5,0,3.55,0,7.29,0,-28.2,29.916,0,27.6689,0,16.9,0,12.71,0,3.02,12.43,0,1.39,0
09/11/2019,10:45, ,0,Pellicer Creek,0,6,53.2,0,3.68,0,7.29,0,-28,29.931,0,26.922,0,16.4,0,12.98,0,3.03,12.46,0,1.369,0
09/11/2019,11:00, ,0,Pellicer Creek,0,6,52,0,3.6,0,7.27,0,-26.7,29.981,0,26.1391,0,15.88,0,13.35,0,3.08,12.67,0,1.349,0
09/11/2019,11:15, ,0,Pellicer Creek,0,6,54.2,0,3.77,0,7.25,0,-25.7,30.206,0,24.0496,0,14.49,0,13.51,0,3.33,13.69,0,1.326,0
09/11/2019,11:30, ,0,Pellicer Creek,0,6,52.6,0,3.66,0,7.22,0,-23.5,30.303,0,23.4298,0,14.08,0,12.82,0,3.34,13.72,0,1.305,0
09/11/2019,11:45, ,0,Pellicer Creek,0,6,51,0,3.57,0,7.18,0,-21.5,30.419,0,21.753,0,12.98,0,12.03,0,3.51,14.43,0,1.281,0
09/11/2019,12:00, ,0,Pellicer Creek,0,6,52.3,0,3.66,0,7.17,0,-20.7,30.532,0,20.7355,0,12.31,0,11.48,0,3.56,14.62,0,1.261,0
09/11/2019,12:15, ,0,Pellicer Creek,0,6,48.9,0,3.43,0,7.14,0,-19,30.591,0,19.5952,0,11.58,0,10.94,0,3.7,15.21,0,1.237,0
09/11/2019,12:30, ,0,Pellicer Creek,0,6,50.6,0,3.55,0,7.13,0,-18.5,30.586,0,19.7054,0,11.65,0,10.54,0,3.67,15.09,0,1.215,0
09/11/2019,12:45, ,0,Pellicer Creek,0,6,49.9,0,3.51,0,7.12,0,-17.6,30.592,0,19.286,0,11.38,0,10.16,0,3.53,14.5,0,1.19,0
09/11/2019,13:00, ,0,Pellicer Creek,0,6,45,0,3.16,0,7.12,0,-17.5,30.512,0,20.0974,0,11.9,0,10.12,0,3.29,13.52,0,1.168,0
09/11/2019,13:15, ,0,Pellicer Creek,0,6,43.1,0,3.03,0,7.12,0,-17.7,30.513,0,20.1282,0,11.92,0,9.86,0,3.28,13.49,0,1.145,0
09/11/2019,13:30, ,0,Pellicer Creek,0,6,42.6,0,2.99,0,7.11,0,-17.3,30.541,0,19.7252,0,11.66,0,9.71,0,3.21,13.19,0,1.125,0
09/11/2019,13:45, ,0,Pellicer Creek,0,6,48.2,0,3.4,0,7.08,0,-15.5,30.643,0,18.0588,0,10.59,0,9.87,0,3.65,15.02,0,1.106,0
09/11/2019,14:00, ,0,Pellicer Creek,0,6,44.9,0,3.16,0,7.07,0,-14.9,30.622,0,18.5414,0,10.9,0,10.48,0,3.48,14.28,0,1.089,0
09/11/2019,14:15, ,0,Pellicer Creek,0,6,44.4,0,3.13,0,7.07,0,-14.8,30.692,0,17.6804,0,10.35,0,9.84,0,3.34,13.74,0,1.074,0
09/11/2019,14:30, ,0,Pellicer Creek,0,6,45.5,0,3.21,0,7.08,0,-15.1,30.686,0,17.6263,0,10.31,0,9.19,0,3.26,13.39,0,1.052,0
09/11/2019,14:45, ,0,Pellicer Creek,0,6,40.7,0,2.87,0,7.05,0,-13.7,30.676,0,17.7241,0,10.38,0,8.3,0,3.26,13.42,0,1.037,0
09/11/2019,15:00, ,0,Pellicer Creek,0,6,39.1,0,2.77,0,7.04,0,-12.8,30.728,0,16.9251,0,9.87,0,8.74,0,3.46,14.22,0,1.027,0
09/11/2019,15:15, ,0,Pellicer Creek,0,6,42.4,0,3,0,7.05,0,-13.6,30.719,0,16.9181,0,9.86,0,8.99,0,3.45,14.19,0,1.012,0
09/11/2019,15:30, ,0,Pellicer Creek,0,6,44.2,0,3.13,0,7.05,0,-13.4,30.795,0,15.9445,0,9.25,0,9.92,0,3.55,14.6,0,1.002,0
09/11/2019,15:45, ,0,Pellicer Creek,0,6,46.1,0,3.27,0,7.03,0,-12.2,30.815,0,15.9009,0,9.22,0,8.4,0,3.47,14.27,0,0.997,0
09/11/2019,16:00, ,0,Pellicer Creek,0,6,49,0,3.48,0,7.04,0,-12.9,30.815,0,15.4201,0,8.92,0,10.02,0,3.76,15.46,0,0.993,0
09/11/2019,16:15, ,0,Pellicer Creek,0,6,50.8,0,3.61,0,7.03,0,-12.3,30.959,0,14.2417,0,8.18,0,9.25,0,3.87,15.89,0,0.997,0
09/11/2019,16:30, ,0,Pellicer Creek,0,6,55.4,0,3.93,0,7.04,0,-12.8,31.283,0,13.323,0,7.61,0,10.27,0,4.12,16.91,0,1.007,0
09/11/2019,16:45, ,0,Pellicer Creek,0,6,56.8,0,4.03,0,7.03,0,-12.2,31.405,0,12.4393,0,7.06,0,9.7,0,3.98,16.34,0,1.025,0
09/11/2019,17:00, ,0,Pellicer Creek,0,6,66.6,0,4.71,0,7.08,0,-15.2,31.92,0,11.239,0,6.32,0,9.72,0,4.42,18.18,0,1.042,0
09/11/2019,17:15, ,0,Pellicer Creek,0,6,67,0,4.72,0,7.09,0,-15.8,31.959,0,11.9274,0,6.74,0,12.36,0,4.45,18.29,0,1.065,0
09/11/2019,17:30, ,0,Pellicer Creek,0,6,71.2,0,5,0,7.14,0,-19.2,31.963,0,13.3415,0,7.61,0,11.07,0,4.85,19.92,0,1.088,0
09/11/2019,17:45, ,0,Pellicer Creek,0,6,72.6,0,5.07,0,7.19,0,-21.7,31.92,0,14.6542,0,8.42,0,12.96,0,4.62,18.99,0,1.116,0
09/11/2019,18:00, ,0,Pellicer Creek,0,5.9,71.9,0,5.03,0,7.19,0,-22.1,31.728,0,15.1549,0,8.74,0,12.49,0,4.61,18.94,0,1.146,0
09/11/2019,18:15, ,0,Pellicer Creek,0,6,71.8,0,5.02,0,7.21,0,-22.9,31.686,0,15.8174,0,9.16,0,12.43,0,4.33,17.78,0,1.181,0
09/11/2019,18:30, ,0,Pellicer Creek,0,6,69,0,4.79,0,7.22,0,-23.8,31.585,0,18.0286,0,10.56,0,13.79,0,4.19,17.21,0,1.213,0
09/11/2019,18:45, ,0,Pellicer Creek,0,6,69.4,0,4.8,0,7.24,0,-25,31.598,0,18.798,0,11.05,0,14.51,0,4.01,16.49,0,1.247,0
09/11/2019,19:00, ,0,Pellicer Creek,0,5.9,67.2,0,4.63,0,7.25,0,-25.7,31.504,0,20.389,0,12.07,0,14.79,0,3.91,16.06,0,1.287,0
09/11/2019,19:15, ,0,Pellicer Creek,0,6,71.4,0,4.89,0,7.32,0,-29.6,31.592,0,22.0161,0,13.13,0,18.24,0,3.89,15.98,0,1.326,0
09/11/2019,19:30, ,0,Pellicer Creek,0,5.9,75,0,5.13,0,7.36,0,-32.4,31.489,0,22.6314,0,13.53,0,18.41,0,3.82,15.7,0,1.356,0
09/11/2019,19:45, ,0,Pellicer Creek,0,6,76.8,0,5.25,0,7.4,0,-34.5,31.359,0,23.6001,0,14.17,0,19.78,0,3.7,15.19,0,1.385,0
09/11/2019,20:00, ,0,Pellicer Creek,0,5.9,78.1,0,5.29,0,7.44,0,-37.3,31.5,0,25.5901,0,15.48,0,31.38,0,3.76,15.44,0,1.411,0
09/11/2019,20:15, ,0,Pellicer Creek,0,6,81,0,5.47,0,7.5,0,-40.7,31.352,0,26.7455,0,16.25,0,24.88,0,3.42,14.06,0,1.434,0
09/11/2019,20:30, ,0,Pellicer Creek,0,5.9,81.4,0,5.48,0,7.53,0,-42.6,31.321,0,28.1437,0,17.19,0,38.28,0,3.32,13.65,0,1.456,0
09/11/2019,20:45, ,0,Pellicer Creek,0,6,83.6,0,5.61,0,7.59,0,-46,31.114,0,29.8394,0,18.34,0,27.06,0,2.94,12.08,0,1.476,0
09/11/2019,21:00, ,0,Pellicer Creek,0,5.9,84.8,0,5.66,0,7.64,0,-48.8,31.057,0,31.6564,0,19.58,0,28.6,0,2.79,11.47,0,1.496,0
09/11/2019,21:15, ,0,Pellicer Creek,0,5.9,85.5,0,5.69,0,7.67,0,-50.8,30.932,0,32.7367,0,20.32,0,31.45,0,2.71,11.13,0,1.512,0
09/11/2019,21:30, ,0,Pellicer Creek,0,5.9,86.2,0,5.72,0,7.7,0,-52.4,30.865,0,33.8388,0,21.08,0,35.42,0,2.68,11,0,1.525,0
09/11/2019,21:45, ,0,Pellicer Creek,0,5.9,86.9,0,5.76,0,7.72,0,-53.9,30.77,0,34.7557,0,21.71,0,25.31,0,2.46,10.1,0,1.538,0
09/11/2019,22:00, ,0,Pellicer Creek,0,5.9,86.8,0,5.74,0,7.74,0,-54.9,30.741,0,35.4687,0,22.21,0,24.03,0,2.41,9.91,0,1.544,0
09/11/2019,22:15, ,0,Pellicer Creek,0,5.9,87.1,0,5.74,0,7.76,0,-56.4,30.68,0,36.5866,0,22.99,0,22.06,0,2.38,9.79,0,1.547,0
09/11/2019,22:30, ,0,Pellicer Creek,0,5.9,86.5,0,5.68,0,7.77,0,-56.9,30.684,0,37.3004,0,23.48,0,20.48,0,2.37,9.73,0,1.544,0
09/11/2019,22:45, ,0,Pellicer Creek,0,5.9,84.4,0,5.56,0,7.76,0,-56.5,30.652,0,36.8643,0,23.18,0,18.69,0,2.37,9.73,0,1.535,0
09/11/2019,23:00, ,0,Pellicer Creek,0,5.9,68.5,0,4.49,0,7.71,0,-52.9,30.691,0,37.8648,0,23.88,0,16.8,0,1.6,6.56,0,1.519,0
09/11/2019,23:15, ,0,Pellicer Creek,0,5.9,78.2,0,5.13,0,7.74,0,-54.9,30.689,0,37.8963,0,23.9,0,16.59,0,2.24,9.23,0,1.501,0
09/11/2019,23:30, ,0,Pellicer Creek,0,5.9,81.7,0,5.38,0,7.72,0,-53.7,30.673,0,36.4303,0,22.88,0,18.64,0,2.24,9.23,0,1.484,0
09/11/2019,23:45, ,0,Pellicer Creek,0,5.9,82.7,0,5.45,0,7.73,0,-54.4,30.698,0,36.5669,0,22.97,0,18.85,0,2.29,9.4,0,1.464,0
09/12/2019,00:00, ,0,Pellicer Creek,0,5.9,81.2,0,5.38,0,7.69,0,-51.9,30.729,0,35.1097,0,21.96,0,20.99,0,2.51,10.34,0,1.449,0
09/12/2019,00:15, ,0,Pellicer Creek,0,5.9,79.9,0,5.31,0,7.65,0,-49.8,30.73,0,33.8838,0,21.11,0,21.58,0,2.51,10.34,0,1.429,0
09/12/2019,00:30, ,0,Pellicer Creek,0,5.9,77.1,0,5.17,0,7.59,0,-45.9,30.719,0,31.82,0,19.7,0,24.27,0,2.69,11.06,0,1.411,0
09/12/2019,00:45, ,0,Pellicer Creek,0,5.9,74.6,0,5.03,0,7.54,0,-42.8,30.701,0,30.6712,0,18.91,0,23.08,0,2.79,11.47,0,1.391,0
09/12/2019,01:00, ,0,Pellicer Creek,0,5.9,71.1,0,4.83,0,7.45,0,-37.7,30.649,0,28.4586,0,17.42,0,21.15,0,2.88,11.82,0,1.366,0
09/12/2019,01:15, ,0,Pellicer Creek,0,5.9,67.2,0,4.62,0,7.36,0,-31.9,30.587,0,25.7179,0,15.59,0,18.73,0,3.13,12.85,0,1.341,0
09/12/2019,01:30, ,0,Pellicer Creek,0,5.9,65,0,4.49,0,7.31,0,-29,30.506,0,24.4938,0,14.78,0,17.53,0,3.31,13.62,0,1.317,0
09/12/2019,01:45, ,0,Pellicer Creek,0,5.9,62.7,0,4.36,0,7.26,0,-26.1,30.429,0,23.0805,0,13.85,0,17.13,0,3.39,13.92,0,1.29,0
