"","date_analyzed","duplicate","vial_no","fb_fluor_rfu","vol_ext","vol_filter","fluor_rfu","date_sampled","datetime","blank_corr_fluor","dil_fact_fluor","chla_ugl"
"1",2019-06-27,0,1,0,8,250,1442.9,2019-06-24,2019-06-24 09:30:00,1442.9,46.1728,12.3152252025565
"2",2019-06-27,0,2,0,8,250,1353.99,2019-06-24,2019-06-24 10:30:00,1353.99,43.32768,11.5563738110815
"3",2019-06-27,0,3,0,8,250,1645.36,2019-06-24,2019-06-24 11:30:00,1645.36,52.65152,14.0432316441045
"4",2019-06-27,0,4,0,8,250,1414.72,2019-06-24,2019-06-24 12:30:00,1414.72,45.27104,12.0747074631372
"5",2019-06-27,0,5,0,8,250,1451.11,2019-06-24,2019-06-24 13:30:00,1451.11,46.43552,12.3852979719189
"6",2019-06-27,0,6,0,8,250,1638.36,2019-06-24,2019-06-24 14:30:00,1638.36,52.42752,13.9834862865482
"7",2019-06-27,0,7,0,8,250,1883.17,2019-06-24,2019-06-24 15:30:00,1883.17,60.26144,16.0729521413115
"8",2019-06-27,0,8,0,8,250,2353.94,2019-06-24,2019-06-24 16:30:00,2353.94,75.32608,20.09099813799
"9",2019-06-27,0,9,0,8,250,1850.65,2019-06-24,2019-06-24 17:30:00,1850.65,59.2208,15.7953922802073
"10",2019-06-27,0,10,0,8,250,1779.39,2019-06-24,2019-06-24 18:30:00,1779.39,56.94048,15.1871845402848
"11",2019-06-27,0,11,0,8,250,1646.6,2019-06-24,2019-06-24 19:30:00,1646.6,52.6912,14.053815107443
"12",2019-06-27,0,12,0,8,250,1391.47,2019-06-24,2019-06-24 20:30:00,1391.47,44.52704,11.8762675255397
"13",2019-06-27,0,13,0,8,250,1401.47,2019-06-24,2019-06-24 21:30:00,1401.47,44.84704,11.9616180363344
"14",2019-06-27,0,14,0,8,250,1108.08,2019-06-24,2019-06-24 22:30:00,1108.08,35.45856,9.45751940013085
"15",2019-06-27,0,15,0,8,250,893.15,2019-06-24,2019-06-24 23:30:00,893.15,28.5808,7.62308087162196
"16",2019-06-27,0,16,0,8,250,970.73,2019-06-25,2019-06-25 00:30:00,970.73,31.06336,8.28523013436667
"17",2019-06-27,0,17,0,8,250,998.1,2019-06-25,2019-06-25 01:30:00,998.1,31.9392,8.51883448241156
"18",2019-06-27,0,18,0,8,250,NA,2019-06-25,2019-06-25 02:30:00,NA,NA,NA
"19",2019-06-27,0,19,0,8,250,980.3,2019-06-25,2019-06-25 03:30:00,980.3,31.3696,8.36691057319712
"20",2019-06-27,0,20,0,8,250,855.06,2019-06-25,2019-06-25 04:30:00,855.06,27.36192,7.29798077600523
"21",2019-06-27,0,21,0,8,250,1045.91,2019-06-25,2019-06-25 05:30:00,1045.91,33.46912,8.92689527452066
"22",2019-06-27,0,22,0,8,250,995.45,2019-06-25,2019-06-25 06:30:00,995.45,31.8544,8.49621659705098
"23",2019-06-27,0,23,0,8,250,1407.91,2019-06-25,2019-06-25 07:30:00,1407.91,45.05312,12.0165837652861
"24",2019-06-27,0,24,0,8,250,1643.73,2019-06-25,2019-06-25 08:30:00,1643.73,52.59936,14.029319510845
