"","date_analyzed","vial_no","fb_fluor_rfu","vol_ext","vol_filter","fluor_rfu","datetime","blank_corr_fluor","dil_fact_fluor","chla_ugl"
"1",2019-08-22,1,0.04,8,250,551.87,2019-08-20 13:54:00,551.83,17.65856,4.61218056376897
"2",2019-08-22,2,0.04,8,250,415.65,2019-08-20 14:03:00,415.61,13.29952,3.4736574019318
"3",2019-08-22,3,0.04,8,250,664.75,2019-08-20 14:13:00,664.71,21.27072,5.55562862211709
"4",2019-08-22,4,0.04,8,250,671.37,2019-08-20 14:24:00,671.33,21.48256,5.61095840725409
"5",2019-08-22,5,0.04,8,250,641.92,2019-08-20 14:32:00,641.88,20.54016,5.36481608515671
"6",2019-08-22,6,0.04,8,250,677.44,2019-08-20 14:40:00,677.4,21.6768,5.66169130691898
"7",2019-08-22,7,0.04,8,250,647.02,2019-08-20 14:48:00,646.98,20.70336,5.40744175044353
"8",2019-08-22,8,0.04,8,250,564.96,2019-08-20 14:58:00,564.92,18.07744,4.72158643800513
"9",2019-08-22,9,0.04,8,250,576.69,2019-08-20 15:06:00,576.65,18.4528,4.8196254681648
"10",2019-08-22,10,0.04,8,250,367.16,2019-08-20 15:14:00,367.12,11.74784,3.06837926276365
